xi,yi,zi,xo,yo,zo
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.497210046905586067e-02,1.162303131713690796e+01,2.722538849481326295e-02
2.011393060189889503e+00,1.438337588659736321e-01,1.213777692959577473e-04,2.197235948055686006e+00,1.174698705235669394e+01,2.097000697035511507e-02
4.022213450917815791e+00,2.506762876044965060e-01,4.840486944212291217e-04,4.368873429478871806e+00,1.183928048955506185e+01,1.549879043831214886e-02
6.032486788574959569e+00,3.239204539092244151e-01,1.085819201231911146e-03,6.539939270704700824e+00,1.190302622604948901e+01,1.082711468284847101e-02
8.042238689552588582e+00,3.669591254737251118e-01,1.924495715584101331e-03,8.710488197699545410e+00,1.194133885915736748e+01,6.970355488129520438e-03
1.005149477024195193e+01,3.831851699918740195e-01,2.997884663333896197e-03,1.088057493642966556e+01,1.195733298619613372e+01,3.943888638320292017e-03
1.206028064703431291e+01,3.759914551573269592e-01,4.303792470337393893e-03,1.305025421286117115e+01,1.195412320448309096e+01,1.763089917585780597e-03
1.406862193632092328e+01,3.487708486637834948e-01,5.840025562450690613e-03,1.521958075296043411e+01,1.193482411133585330e+01,4.433351100896487651e-04
1.607654425449293711e+01,3.049162182048553715e-01,7.604390365529883206e-03,1.738860928269360429e+01,1.190255030407154457e+01,0.000000000000000000e+00
1.808407321794160438e+01,2.478204314741983827e-01,9.594693305431070685e-03,1.955739452802699319e+01,1.186041638000769183e+01,3.532089212562582745e-04
2.009123444305821593e+01,1.808763561655560848e-01,1.180874080801034599e-02,2.172599121492675067e+01,1.181153693646172975e+01,1.405553026854800859e-03
2.209805354623399154e+01,1.074768599727600055e-01,1.424433929912381248e-02,2.389445406935926641e+01,1.175902657075109481e+01,3.146108329540283407e-03
2.410455614386009415e+01,3.101481058929003373e-02,1.689929520462756310e-02,2.606283781729063165e+01,1.170599988019304405e+01,5.563950842057351596e-03
2.611076785232792119e+01,-4.511692429097833440e-02,1.977141495037769425e-02,2.823119718468710815e+01,1.165557146210510453e+01,8.648156577150659455e-03
2.811671428802854322e+01,-1.175254769745652378e-01,2.285850496223031103e-02,3.039958689751506782e+01,1.161085591380466653e+01,1.238780154756486708e-02
3.012242106735329727e+01,-1.828179797676391383e-01,2.615837166604149597e-02,3.256805882545236841e+01,1.157479221474184605e+01,1.677196176604460812e-02
3.212791363586774196e+01,-2.376932910959881629e-01,2.966882148766735935e-02,3.473662912661846036e+01,1.154812363185621749e+01,2.178971324533455003e-02
3.413321358821089291e+01,-2.809180538015863537e-01,3.338766085296399760e-02,3.690528967016604156e+01,1.153010003358965641e+01,2.743013199817934469e-02
3.613833871097039463e+01,-3.133036729386600161e-01,3.731269618778749325e-02,3.907403186041545240e+01,1.151994270833633394e+01,3.368229403732362487e-02
3.814330662848373521e+01,-3.357486750594151914e-01,4.144173391799395312e-02,4.124284710168713275e+01,1.151687294449055443e+01,4.053527537551206844e-02
4.014813496508824642e+01,-3.491515867161896214e-01,4.577258046943948749e-02,4.341172679830143011e+01,1.152011203044661869e+01,4.797815202548930125e-02
4.215284134512141634e+01,-3.544109344611453549e-01,5.030304226798019279e-02,4.558066235457888382e+01,1.152888125459891988e+01,5.600000000000002892e-02
4.415744339292064780e+01,-3.524252448464004761e-01,5.503092573947212379e-02,4.774964517483967796e+01,1.154240190534145505e+01,6.458989531178881138e-02
4.616195873282332940e+01,-3.440930444242049080e-01,5.995403730977142548e-02,4.991866666340437320e+01,1.155989527106874348e+01,7.373691397360039590e-02
4.816640498916694924e+01,-3.303128597468086292e-01,6.507018340473416651e-02,5.208771822459328149e+01,1.158058264017495986e+01,8.343013199817934933e-02
5.017079978628891013e+01,-3.119832173663295571e-01,7.037717045021647799e-02,5.425679126272688535e+01,1.160368530105445117e+01,9.365862539827038424e-02
5.217516074852654384e+01,-2.900026438351496205e-01,7.587280487207440083e-02,5.642587718212543280e+01,1.162842454210129972e+01,1.044114701866181161e-01
5.417950550021744505e+01,-2.652696657052550089e-01,8.155489309616409388e-02,5.859496738710952712e+01,1.165402165171011717e+01,1.156777423759672296e-01
5.618385166569886024e+01,-2.386828095290274288e-01,8.742124154834161887e-02,6.076405328199945899e+01,1.167969791827498760e+01,1.274465179790623959e-01
5.818821686930836279e+01,-2.111406018586289568e-01,9.346965665446310689e-02,6.293312631249882827e+01,1.170467807735717436e+01,1.397068730086482025e-01
6.019261873538331997e+01,-1.835415692460897474e-01,9.969794484038457805e-02,6.510218129587023839e+01,1.172846771071097649e+01,1.524478834774693203e-01
6.219707488825903141e+01,-1.567842381432979770e-01,1.061039125319622189e-01,6.727121886262344219e+01,1.175105663552855084e+01,1.656586253982704204e-01
6.420159951271818954e+01,-1.316040831778132747e-01,1.126853661550520497e-01,6.944024021889421761e+01,1.177248261787244310e+01,1.793281747837960904e-01
6.620619338506897122e+01,-1.081009508809073066e-01,1.194401121355102291e-01,7.160924657081862676e+01,1.179278342380550981e+01,1.934456076467910568e-01
6.821085401472353738e+01,-8.621982072707290445e-02,1.263659568991928328e-01,7.377823912453246180e+01,1.181199681939007640e+01,2.080000000000000182e-01
7.021557891109368654e+01,-6.590567219093472484e-02,1.334607068719559642e-01,7.594721908617179906e+01,1.183016057068904558e+01,2.229804278561675346e-01
7.222036558359145886e+01,-4.710348474680971925e-02,1.407221684796556849e-01,7.811618766187240226e+01,1.184731244376469661e+01,2.383759672280382769e-01
7.422521154162885182e+01,-2.975823786927861425e-02,1.481481481481481677e-01,8.028514605777027668e+01,1.186349020467984516e+01,2.541756941283569438e-01
7.623011429461789135e+01,-1.381491103257042642e-02,1.557364523032893910e-01,8.245409548000145605e+01,1.187873161949716661e+01,2.703686845698680119e-01
7.823507135197057494e+01,7.815162886022435605e-04,1.634848873709355555e-01,8.462303713470160460e+01,1.189307445427912135e+01,2.869440145653163188e-01
8.024008022309880062e+01,1.408606461996640517e-02,1.713912597769427504e-01,8.679197222800685552e+01,1.190655647508843451e+01,3.038907601274465353e-01
8.224513841741469378e+01,2.615375448702926542e-02,1.794533759471670931e-01,8.896090196605301514e+01,1.191921544798760735e+01,3.211979972690034435e-01
8.425024344433012402e+01,3.703960641516615415e-02,1.876690423074645619e-01,9.112982755497614562e+01,1.193108913903932056e+01,3.388548020027311591e-01
8.625539281325711727e+01,4.679864093019199534e-02,1.960360652836913298e-01,9.329875020091205329e+01,1.194221531430616423e+01,3.568502503413747973e-01
8.826058403360775628e+01,5.548587855748211839e-02,2.045522513017034583e-01,9.546767110999664396e+01,1.195263173985081906e+01,3.751734182976788068e-01
9.026581461479393909e+01,6.315633982258768431e-02,2.132154067873571757e-01,9.763659148836586610e+01,1.196237618173570105e+01,3.938133818843878586e-01
9.227108206622756370e+01,6.986504525101591700e-02,2.220233381665083772e-01,9.980551254215575341e+01,1.197148640602366143e+01,4.127592171142467348e-01
9.427638389732082658e+01,7.566701536840587938e-02,2.309738518650132910e-01,1.019744354775020554e+02,1.198000017877712153e+01,4.320000000000000506e-01
9.628171761748561153e+01,8.061727070022084440e-02,2.400647543087280067e-01,1.041433615005408484e+02,1.198795526605888639e+01,4.515248065543923661e-01
9.828708073613388763e+01,8.477083177209987497e-02,2.492938519235086692e-01,1.063122918174079103e+02,1.199538943393133295e+01,4.713227127901686297e-01
1.002924707626777376e+02,8.818271910941832825e-02,2.586589511352112014e-01,1.084812276342393034e+02,1.200234044845726800e+01,4.913827947200729573e-01
1.022978852065290170e+02,9.090795323794714777e-02,2.681578583696918594e-01,1.106501701571708338e+02,1.200884607569919815e+01,5.116941283568504639e-01
1.043033215770998936e+02,9.300155468301769812e-02,2.777883800528065938e-01,1.128191205923385496e+02,1.201494408171980055e+01,5.322457897132454319e-01
1.063087773838021803e+02,9.451854397026908383e-02,2.875483226104117440e-01,1.149880801458782571e+02,1.202067223258158002e+01,5.530268548020027541e-01
1.083142501360479031e+02,9.551394162525246589e-02,2.974354924683632051e-01,1.171570500239259758e+02,1.202606829434730429e+01,5.740263996358671017e-01
1.103197373432492299e+02,9.604276817347505435e-02,3.074476960525170943e-01,1.193260314326174978e+02,1.203117003307938759e+01,5.952335002275830345e-01
1.123252365148179450e+02,9.616004414053196114e-02,3.175827397887295844e-01,1.214950255780889279e+02,1.203601521484064030e+01,6.166372325898955564e-01
1.143307451601661029e+02,9.592079005184249441e-02,3.278384301028567926e-01,1.236640336664759730e+02,1.204064160569352282e+01,6.382266727355486724e-01
1.163362607887057436e+02,9.538002643308969575e-02,3.382125734207546697e-01,1.258330568339510336e+02,1.204508629061841951e+01,6.599908966772873864e-01
1.183417809098487226e+02,9.459277380969284554e-02,3.487029761682793327e-01,1.280020951156573403e+02,1.204937563630943131e+01,6.819189804278562583e-01
1.203473030330072078e+02,9.361405270737895024e-02,3.593074447712869546e-01,1.301711476705785060e+02,1.205352748023051745e+01,7.040000000000000702e-01
1.223528246675931968e+02,9.249888365152335312e-02,3.700237856556337634e-01,1.323402136334457282e+02,1.205755942374950074e+01,7.262230314064637149e-01
1.243583433230205912e+02,9.130228713048665901e-02,3.808498052471756545e-01,1.345092921389896219e+02,1.206148906823429101e+01,7.485771506599911973e-01
1.263638569372382676e+02,9.007153938323261833e-02,3.917833099717686340e-01,1.366783823219413136e+02,1.206533401505266845e+01,7.710514337733271883e-01
1.283693650763162850e+02,8.882449412128089195e-02,4.028221062552691523e-01,1.388474833170317027e+02,1.206911186557258375e+01,7.936349567592171361e-01
1.303748676929193664e+02,8.757201872786918306e-02,4.139640005235331044e-01,1.410165942589918018e+02,1.207284022116181887e+01,8.163167956304053785e-01
1.323803647397122916e+02,8.632498058614723746e-02,4.252067992024163856e-01,1.431857142825522544e+02,1.207653668318823748e+01,8.390860263996360313e-01
1.343858561693595277e+02,8.509424707922089159e-02,4.365483087177756127e-01,1.453548425224442724e+02,1.208021885301970855e+01,8.619317250796543206e-01
1.363913419345257410e+02,8.389068558997613001e-02,4.479863354954662369e-01,1.475239781133988117e+02,1.208390433202418457e+01,8.848429676832045843e-01
1.383968219878756827e+02,8.272516350165065591e-02,4.595186859613449304e-01,1.496931201901465442e+02,1.208761072156940131e+01,9.078088302230314932e-01
1.404022962820740759e+02,8.160854819730629928e-02,4.711431665412673109e-01,1.518622678874185112e+02,1.209135562302318156e+01,9.308183887118801625e-01
1.424077647697854161e+02,8.055170705991701596e-02,4.828575836610900507e-01,1.540314203399458393e+02,1.209515663775352046e+01,9.538607191624945969e-01
1.444132274036745116e+02,7.956550747280839719e-02,4.946597437466685454e-01,1.562005766824590864e+02,1.209903136712815552e+01,9.769248975876195784e-01
1.464186841364059433e+02,7.866081681882249044e-02,5.065474532238594119e-01,1.583697360496896067e+02,1.210299741251512806e+01,1.000000000000000222e+00
1.484241349206443772e+02,7.784850248119699889e-02,5.185185185185186008e-01,1.605388975763678729e+02,1.210707237528190916e+01,1.023075102412380977e+00
1.504295797090545932e+02,7.713943184299376643e-02,5.305707460565021183e-01,1.627080603972251822e+02,1.211127385679684920e+01,1.046139280837505847e+00
1.524350184543010869e+02,7.654447228723067209e-02,5.427019422636660817e-01,1.648772236469923769e+02,1.211561945842759336e+01,1.069181611288120282e+00
1.544404511090485812e+02,7.607449119705747553e-02,5.549099135658668303e-01,1.670463864604003561e+02,1.212012678154183121e+01,1.092191169776969062e+00
1.564458776259617423e+02,7.574035595549209743e-02,5.671924663889601481e-01,1.692155479721799907e+02,1.212481342750765378e+01,1.115157032316795638e+00
1.584512979577053216e+02,7.555293394577221322e-02,5.795474071588024856e-01,1.713847073170621798e+02,1.212969699769274712e+01,1.138068274920346346e+00
1.604567120569439282e+02,7.552309255082777228e-02,5.919725423012494048e-01,1.735538636297779931e+02,1.213479509346506546e+01,1.160913973600364191e+00
1.624621198763421717e+02,7.566169915385252687e-02,6.044656782421573560e-01,1.757230160450583014e+02,1.214012531619247959e+01,1.183683204369595288e+00
1.644675213685646611e+02,7.597962113777644022e-02,6.170246214073827895e-01,1.778921636976340608e+02,1.214570526724280697e+01,1.206365043240783530e+00
1.664729164862763469e+02,7.648772588596906841e-02,6.296471782227808234e-01,1.800613057222361135e+02,1.215155254798396101e+01,1.228948566226673034e+00
1.684783051821415256e+02,7.719688078122852182e-02,6.423311551142085740e-01,1.822304412535955009e+02,1.215768475978367569e+01,1.251422849340009691e+00
1.704836874088250909e+02,7.811795320670454623e-02,6.550743585075213815e-01,1.843995694264429801e+02,1.216411950400990349e+01,1.273776968593536729e+00
1.724890631189915666e+02,7.926181054563484485e-02,6.678745948285760292e-01,1.865686893755097628e+02,1.217087438203060046e+01,1.296000000000000707e+00
1.744944322653058180e+02,8.063932018094939480e-02,6.807296705032278572e-01,1.887378002355265210e+02,1.217796699521336912e+01,1.318081019572144186e+00
1.764997948004322552e+02,8.226134949575397703e-02,6.936373919573335378e-01,1.909069011412242958e+02,1.218541494492620814e+01,1.340009103322712836e+00
1.785051506770358571e+02,8.413876587324234380e-02,7.065955656167489662e-01,1.930759912273339864e+02,1.219323583253702736e+01,1.361773327264451439e+00
1.805104998477809488e+02,8.628243669638842317e-02,7.196019979073304818e-01,1.952450696285866059e+02,1.220144725941364783e+01,1.383362767410105221e+00
1.825158422653323669e+02,8.870322934834197481e-02,7.326544952549334244e-01,1.974141354797128542e+02,1.221006682692385148e+01,1.404766499772417188e+00
1.845211778823548343e+02,9.141201121216484260e-02,7.457508640854149107e-01,1.995831879154439434e+02,1.221911213643558902e+01,1.425973600364133009e+00
1.865265066515128467e+02,9.441964967091889815e-02,7.588889108246299475e-01,2.017522260705105737e+02,1.222860078931668504e+01,1.446973145197997468e+00
1.885318285254712407e+02,9.773701210784180304e-02,7.720664418984359845e-01,2.039212490796439567e+02,1.223855038693500497e+01,1.467754210286755123e+00
1.905371434568944551e+02,1.013749659056877028e-01,7.852812637326881395e-01,2.060902560775747645e+02,1.224897853065841424e+01,1.488305871643149869e+00
1.925424513984474402e+02,1.053443784478701184e-01,7.985311827532426410e-01,2.082592461990339814e+02,1.225990282185460600e+01,1.508617205279927598e+00
1.945477523027947200e+02,1.096561171174069427e-01,8.118140053859559391e-01,2.104282185787525350e+02,1.227134086189166418e+01,1.528677287209831981e+00
1.965530461226008185e+02,1.143210492971841741e-01,8.251275380566835960e-01,2.125971723514614666e+02,1.228331025213745775e+01,1.548475193445608245e+00
1.985583328105306293e+02,1.193500423705713964e-01,8.384695871912820619e-01,2.147661066518915050e+02,1.229582859395967454e+01,1.568000000000000282e+00
2.005636123192486764e+02,1.247539637204546220e-01,8.518379592156073432e-01,2.169350206147738618e+02,1.230891348872627056e+01,1.587240782885753543e+00
2.025688846014197395e+02,1.305436807299835966e-01,8.652304605555152239e-01,2.191039133748392089e+02,1.232258253780511126e+01,1.606186618115612141e+00
2.045741496097083427e+02,1.367300607823081215e-01,8.786448976368625985e-01,2.212727840668185308e+02,1.233685334256388799e+01,1.624826581702321526e+00
2.065794072967793227e+02,1.433239712604900129e-01,8.920790768855051400e-01,2.234416318254428404e+02,1.235174350437072910e+01,1.643149749658625591e+00
2.085846576152970613e+02,1.503362795474592617e-01,9.055308047272984107e-01,2.256104557854430084e+02,1.236727062459332771e+01,1.661145197997268896e+00
2.105899005179264805e+02,1.577778530264535295e-01,9.189978875880995268e-01,2.277792550815500476e+02,1.238345230459954927e+01,1.678802002730997334e+00
2.125951359573321895e+02,1.656595590805786666e-01,9.324781318937637176e-01,2.299480288484946868e+02,1.240030614575725920e+01,1.696109239872553909e+00
2.146003638861788261e+02,1.739922650928525105e-01,9.459693440701475442e-01,2.321167762210081094e+02,1.241784974943441178e+01,1.713055985434683626e+00
2.166055842571309711e+02,1.827868384463369467e-01,9.594693305431070129e-01,2.342854963845506973e+02,1.243609918011132898e+01,1.729631315430132377e+00
2.186107970228535464e+02,1.920541465242696921e-01,9.729758977384982410e-01,2.364541912081954536e+02,1.245498920062265213e+01,1.745824305871643389e+00
2.206160021360108487e+02,2.018050567095806269e-01,9.864868520821771236e-01,2.386228665257605428e+02,1.247433445943509156e+01,1.761624032771961890e+00
2.226211995492677431e+02,2.120504363853756569e-01,1.000000000000000000e+00,2.407915284903189956e+02,1.249393993301772099e+01,1.777019572143832438e+00
2.246263892152889241e+02,2.228011529347165565e-01,1.013513147917822987e+00,2.429601832549434164e+02,1.251361059783952356e+01,1.791999999999999815e+00
2.266315710867391431e+02,2.340680737409289724e-01,1.027024102261501870e+00,2.451288369727064094e+02,1.253315143036943802e+01,1.806554392353208804e+00
2.286367451162827535e+02,2.458620661867670365e-01,1.040530669456893431e+00,2.472974957966808347e+02,1.255236740707640486e+01,1.820671825216204631e+00
2.306419112565846490e+02,2.581939976555123750e-01,1.054030655929852234e+00,2.494661658799391830e+02,1.257106350442932019e+01,1.834341374601729857e+00
2.326470694603095239e+02,2.710747355302268180e-01,1.067521868106236393e+00,2.516348533755543997e+02,1.258904469889730038e+01,1.847552116522531040e+00
2.346522195787564726e+02,2.845025376818794416e-01,1.081002112411900695e+00,2.538035644365991175e+02,1.260611596694932857e+01,1.860293126991352519e+00
2.366573606696959473e+02,2.983769495899827873e-01,1.094469195272701700e+00,2.559723052161459123e+02,1.262208228505412322e+01,1.872553482020937743e+00
2.386624914170974421e+02,3.125510172017309518e-01,1.107920923114495082e+00,2.581410818672676442e+02,1.263674862968089130e+01,1.884322257624032826e+00
2.406676105027422068e+02,3.268775141921186900e-01,1.121355102363137402e+00,2.603099005430369175e+02,1.264991997729843654e+01,1.895588529813381662e+00
2.426727166084110934e+02,3.412092142361849989e-01,1.134769539444484554e+00,2.624787673965265071e+02,1.266140130437579181e+01,1.906341374601729477e+00
2.446778084158852096e+02,3.553988910088806685e-01,1.148162040784392879e+00,2.646476885808092447e+02,1.267099758738211257e+01,1.916569868001821497e+00
2.466828846069454073e+02,3.692993181852446405e-01,1.161530412808718271e+00,2.668166702489575641e+02,1.267851380278603202e+01,1.926263086026399840e+00
2.486879438633728228e+02,3.827632694403158009e-01,1.174872461943316626e+00,2.689857185540443538e+02,1.268375492705671270e+01,1.935410104688211508e+00
2.506929848669485921e+02,3.956435184491768342e-01,1.188185994614044505e+00,2.711548396491421045e+02,1.268652593666300099e+01,1.943999999999999950e+00
2.526980062994532261e+02,4.077928388866028930e-01,1.201468817246757137e+00,2.733240396873238183e+02,1.268663180807401858e+01,1.952021847974510393e+00
2.547030068426684295e+02,4.190640044278965970e-01,1.214718736267311971e+00,2.754933248216620427e+02,1.268387751775856920e+01,1.959464724624488507e+00
2.567079851783747699e+02,4.293097887478330432e-01,1.227933558101563793e+00,2.776627012052297232e+02,1.267806804218581540e+01,1.966317705962675966e+00
2.587129399883532983e+02,4.383829655214949717e-01,1.241111089175369830e+00,2.798321749910990661e+02,1.266900835782447388e+01,1.972569868001820659e+00
2.607178699543851508e+02,4.461363084240092536e-01,1.254249135914585311e+00,2.820017523323431874e+02,1.265650344114370718e+01,1.978210286754665592e+00
2.627227737582510940e+02,4.524225911301508751e-01,1.267345504745066576e+00,2.841714393820346345e+02,1.264035826861241141e+01,1.983228038233955992e+00
2.647276500817324063e+02,4.570945873151345817e-01,1.280398002092669518e+00,2.863412422932461823e+02,1.262037781669948089e+01,1.987612198452434864e+00
2.667324976066099680e+02,4.600050706538673095e-01,1.293404434383250923e+00,2.885111672190506056e+02,1.259636706187389876e+01,1.991351843422849210e+00
2.687373150146648300e+02,4.610068148214319095e-01,1.306362608042666684e+00,2.906812203125203951e+02,1.256813098060482758e+01,1.994436049157942925e+00
2.707421009876780431e+02,4.599525934928232473e-01,1.319270329496772032e+00,2.928514077267283255e+02,1.253547454936098404e+01,1.996853891670459902e+00
2.727468542074303741e+02,4.566951803428163648e-01,1.332125405171423971e+00,2.950217356147473993e+02,1.249820274461153069e+01,1.998594446973145367e+00
2.747515733557032718e+02,4.510873490468897962e-01,1.344925641492478841e+00,2.971921749617890782e+02,1.245590102404618271e+01,1.999646791078743657e+00
2.767562571142772754e+02,4.429818732796866887e-01,1.357668844885791870e+00,2.993622540755995942e+02,1.240539164013746465e+01,2.000000000000000000e+00
2.787609041649336064e+02,4.322315267163338581e-01,1.370352821777219177e+00,3.015311987240929170e+02,1.234160838319520437e+01,2.000000000000000000e+00
2.807655131894534861e+02,4.186890830319140999e-01,1.382975378592617544e+00,3.036982288140106903e+02,1.225944845792833604e+01,2.000000000000000000e+00
2.827700828696176245e+02,4.022073159012463650e-01,1.395534321757842644e+00,3.058625642520947849e+02,1.215380906904626990e+01,2.000000000000000000e+00
2.847746118872070156e+02,3.826389989995015450e-01,1.408027457698751039e+00,3.080234249450866173e+02,1.201958742125819768e+01,2.000000000000000000e+00
2.867790989240028239e+02,3.598369060016304299e-01,1.420452592841197292e+00,3.101800307997284563e+02,1.185168071927357936e+01,2.000000000000000000e+00
2.887835426617859866e+02,3.336538105826719613e-01,1.432807533611039963e+00,3.123316017227616612e+02,1.164498616780151607e+01,2.000000000000000000e+00
2.907879417823375547e+02,3.039424864175770402e-01,1.445090086434132948e+00,3.144773576209282169e+02,1.139440097155137899e+01,2.000000000000000000e+00
2.927922949674385222e+02,2.705557071813844416e-01,1.457298057736334140e+00,3.166165184009698805e+02,1.109482233523235806e+01,2.000000000000000000e+00
2.947966008988698832e+02,2.333462465491331350e-01,1.469429253943498326e+00,3.187483039696282958e+02,1.074114746355378180e+01,2.000000000000000000e+00
2.968008089109380307e+02,1.916583602668924247e-01,1.481481481481481621e+00,3.208718423166336606e+02,1.032839650290278222e+01,2.000000000000000000e+00
2.988044926265246772e+02,1.409646572114717222e-01,1.493452546776140588e+00,3.229849309509231148e+02,9.853369156439626408e+00,2.000000000000000000e+00
3.008070528696563315e+02,7.495708136151306433e-02,1.505340256253331344e+00,3.250843656490008584e+02,9.314204973601881932e+00,2.000000000000000000e+00
3.028078895503187482e+02,-1.268184235338694343e-02,1.517142416338910449e+00,3.271669176846839946e+02,8.709076276884147205e+00,2.000000000000000000e+00
3.048064025784972841e+02,-1.282695890037635900e-01,1.528856833458732467e+00,3.292293583317891148e+02,8.036155388780798603e+00,2.000000000000000000e+00
3.068019918641776940e+02,-2.781236336599763881e-01,1.540481314038655514e+00,3.312684588641336632e+02,7.293614631786258684e+00,2.000000000000000000e+00
3.087940573173454482e+02,-4.685614513926484870e-01,1.552013664504533930e+00,3.332809905555342880e+02,6.479626328395215573e+00,2.000000000000000000e+00
3.107819988479863582e+02,-7.059005172720075327e-01,1.563451691282224720e+00,3.352637246798081492e+02,5.592362801102133574e+00,2.000000000000000000e+00
3.127652163660856104e+02,-9.964583063687206810e-01,1.574793200797583337e+00,3.372134325107721793e+02,4.629996372401436133e+00,2.000000000000000000e+00
3.147430933809934004e+02,-1.346531636687426703e+00,1.586035999476466785e+00,3.391268853222433108e+02,3.590699364787632408e+00,2.000000000000000000e+00
3.167137006477458954e+02,-1.760763874918209515e+00,1.597177893744730959e+00,3.410008543880385332e+02,2.472644100755101437e+00,2.000000000000000000e+00
3.186728585482126732e+02,-2.240963978881913121e+00,1.608216690028231310e+00,3.428321109819746084e+02,1.274002902798572867e+00,2.000000000000000000e+00
3.206161662891227024e+02,-2.788662330033562231e+00,1.619150194752824623e+00,3.446173722714657401e+02,-6.888025932170254925e-03,2.000000000000000000e+00
3.225392230772055200e+02,-3.405389309828182220e+00,1.629976214344366348e+00,3.463522188739822241e+02,-1.368250032987775588e+00,2.000000000000000000e+00
3.244376281191900944e+02,-4.092675299720885285e+00,1.640692555228712823e+00,3.480311517524447709e+02,-2.805034344732415086e+00,2.000000000000000000e+00
3.263069806218059625e+02,-4.852050681166521606e+00,1.651297023831721056e+00,3.496486291518589269e+02,-4.312062800996655731e+00,2.000000000000000000e+00
3.281428797917824909e+02,-5.685045835620071486e+00,1.661787426579245830e+00,3.511991093172299543e+02,-5.884157241610625810e+00,2.000000000000000000e+00
3.299409248358487616e+02,-6.593191144536515225e+00,1.672161569897143041e+00,3.526770504935627173e+02,-7.516139506404802439e+00,2.000000000000000000e+00
